ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,COLOR,COLOR_BIO,UNIQUE_ECOREGION_COLOR
438,Wyoming Basin shrub steppe,13,Deserts & Xeric Shrublands,Nearctic,#B57C47,#CC6767,#E16C92
439,Alto Paraná Atlantic forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#267400,#38A700,#418D17
440,Araucaria moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#70A800,#38A700,#09B700
441,Atlantic Coast restingas,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#6C9400,#38A700,#3F8800
442,Bahia coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#2E5D00,#38A700,#20B204
443,Bahia interior forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#47B700,#38A700,#4C8300
444,Bolivian Yungas,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#085401,#38A700,#48A90B
445,Caatinga Enclaves moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#4DE600,#38A700,#577E00
446,Caqueta moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#219100,#38A700,#47A90B
447,Catatumbo moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#13ED00,#38A700,#10D300
448,Cauca Valley montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#6C9400,#38A700,#58A40F
449,Cayos Miskitos-San Andrés and Providencia moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#267400,#38A700,#27CE00
450,Central American Atlantic moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#5AA500,#38A700,#679F12
451,Central American montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#98E500,#38A700,#3CC900
452,Chiapas montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#0E5B00,#38A700,#159A15
453,Chimalapas montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#5AA500,#38A700,#50C400
454,Chocó-Darién moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#13ED00,#38A700,#259518
455,Cocos Island moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#4DE600,#38A700,#64BF00
456,Cordillera La Costa montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#36C900,#38A700,#1F9000
457,Cordillera Oriental montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#36C900,#38A700,#77BA03
458,Costa Rican seasonal moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#98E500,#38A700,#2E8B00
459,Cuban moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#70A800,#38A700,#0CB507
460,Eastern Cordillera Real montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#0E5B00,#38A700,#3B8600
461,Eastern Panamanian montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,#0E5B00,#38A700,#21B00B
